index,pattern,meaning,#pos,#neg,score,coverage,precision,recall,F1
0,[['TEXT:claim']],"The word ""claim""",77,0,0.9868639734083354,0.021586767591813848,1.0,0.15778688524590165,0.27256637168141595
1,[['TEXT:prize']],"The word ""prize""",56,0,0.9811254806011883,0.01569946733950098,1.0,0.11475409836065574,0.2058823529411765
2,[['TEXT:i']],"The word ""i""",22,1305,0.9801940139994268,0.37202130641996073,0.9834212509419744,0.4238389087366028,0.5923740354062642
3,[['TEXT:won']],"The word ""won""",48,0,0.9776513612352701,0.01345668629100084,1.0,0.09836065573770492,0.1791044776119403
4,[['TEXT:...']],"The word ""...""",5,444,0.9746276255070367,0.12587608634707037,0.9888641425389755,0.14420266320233843,0.25170068027210885
5,"[['TEXT:i'], ['SPACY:POS-PRON']]","The word ""i"", closely followed by a pronoun",1,291,0.9734065182392245,0.08186150827025511,0.9965753424657534,0.09451120493666774,0.17264906555918125
6,[['TEXT:150p']],"The word ""150p""",38,0,0.9713156552779193,0.010653209980375666,1.0,0.0778688524590164,0.14448669201520914
7,[['TEXT:guaranteed']],"The word ""guaranteed""",38,0,0.9713156552779193,0.010653209980375666,1.0,0.0778688524590164,0.14448669201520914
8,[['TEXT:my']],"The word ""my""",5,378,0.9699191829996353,0.10737314269694422,0.9869451697127938,0.1227671321857746,0.21837088388214906
9,"[['SPACY:POS-PRON'], ['SPACY:POS-PRON']]","A pronoun, closely followed by a pronoun",15,626,0.9674231826082264,0.17970283151107372,0.9765990639625585,0.20331276388437805,0.3365591397849462
10,"[['SPACY:POS-INTJ'], ['SPACY:POS-PRON']]","An interjection (expresses an emotional reaction), closely followed by a pronoun",7,399,0.9668840154944134,0.11382113821138211,0.9827586206896551,0.12958752841831764,0.22898134863701583
11,[['HYPERNYM3:assertion.n.01']],A type of assertion (n),32,0,0.9656833232992172,0.00897112419400056,1.0,0.06557377049180328,0.12307692307692307
12,[['TEXT:;']],"The word "";""",0,193,0.9640503743195605,0.054107092795065884,1.0,0.06268268918480026,0.11797066014669927
13,[['TEXT:tone']],"The word ""tone""",30,0,0.9633247918001281,0.008410428931875526,1.0,0.06147540983606557,0.11583011583011583
14,[['TEXT:18']],"The word ""18""",30,0,0.9633247918001281,0.008410428931875526,1.0,0.06147540983606557,0.11583011583011583
15,[['HYPERNYM3:prize.n.01']],A type of prize (n),29,0,0.9620284579748509,0.008130081300813009,1.0,0.05942622950819672,0.11218568665377177
16,[['TEXT:..']],"The word ""..""",4,277,0.9618805150720043,0.07877768432856742,0.9857651245551602,0.08996427411497239,0.16488095238095235
17,[['TEXT:but']],"The word ""but""",3,240,0.9597223745749359,0.06812447434819176,0.9876543209876543,0.07794738551477752,0.14449127031908487
18,[['HYPERNYM3:claim.v.03']],A type of claim (v),27,0,0.9591601700921332,0.007569386038687973,1.0,0.055327868852459015,0.10485436893203884
19,[['SPACY:POS-SPACE']],A space,0,161,0.9567569169667599,0.04513596860106532,1.0,0.05228970444949659,0.09938271604938273
20,[['TEXT:awarded']],"The word ""awarded""",25,0,0.9558543096872616,0.007008690776562938,1.0,0.05122950819672131,0.09746588693957114
21,[['TEXT:â£1000']],"The word ""â£1000""",25,0,0.9558543096872616,0.007008690776562938,1.0,0.05122950819672131,0.09746588693957114
22,[['TEXT:150ppm']],"The word ""150ppm""",25,0,0.9558543096872616,0.007008690776562938,1.0,0.05122950819672131,0.09746588693957114
23,"[[""TEXT:'m""]]","The word ""'m""",4,237,0.9553473597442675,0.06756377908606673,0.983402489626556,0.0769730431958428,0.14277108433734942
24,[['HYPERNYM3:outgo.n.01']],A type of outgo (n),62,2,0.9530052131248082,0.01794224838800112,0.96875,0.12704918032786885,0.2246376811594203
25,[['HYPERNYM3:television_camera.n.01']],A type of television_camera (n),23,0,0.9520024772914946,0.006447995514437903,1.0,0.0471311475409836,0.09001956947162425
26,"[['SPACY:POS-PRON'], ['TEXT:i']]","A pronoun, closely followed by the word ""i""",3,199,0.9513585045124524,0.05663022147462854,0.9851485148514851,0.0646313738226697,0.12130448034135936
27,[['HYPERNYM3:match.v.01']],A type of match (v),3,196,0.950616238706322,0.05578917858144099,0.9849246231155779,0.06365703150373497,0.11958511287370346
28,[['TEXT:urgent']],"The word ""urgent""",40,1,0.9497868308858359,0.011494252873563218,0.975609756097561,0.08196721311475409,0.15122873345935725
29,"[['SPACY:POS-PRON', 'TEXT:it']]","The word ""it"" which is also a pronoun",14,365,0.9462499757562436,0.10625175217269414,0.9630606860158312,0.11854498213705748,0.2111046847888953
30,"[['SPACY:POS-PRON'], ['TEXT:in']]","A pronoun, closely followed by the word ""in""",2,162,0.9458786528633205,0.04597701149425287,0.9878048780487805,0.05261448522247483,0.09990749306197966
31,[['TEXT:16']],"The word ""16""",37,1,0.9457547169811321,0.010653209980375666,0.9736842105263158,0.07581967213114754,0.14068441064638784
32,"[['TEXT:...'], ['SPACY:POS-PRON']]","The word ""..."", closely followed by a pronoun",1,143,0.9450221658234316,0.040370058873002525,0.9930555555555556,0.046443650535888274,0.08873720136518772
33,[['TEXT:ok']],"The word ""ok""",2,159,0.9448717378740052,0.04513596860106532,0.9875776397515528,0.05164014290354011,0.09814814814814815
34,[['HYPERNYM3:corner.n.08']],A type of corner (n),20,0,0.9448633364750235,0.005606952621250351,1.0,0.040983606557377046,0.07874015748031496
35,[['TEXT:come']],"The word ""come""",1,139,0.9434655292066555,0.03924866834875245,0.9928571428571429,0.04514452744397532,0.0863622242932588
36,[['TEXT:me']],"The word ""me""",20,431,0.9419661105630617,0.12643678160919541,0.9556541019955654,0.1399805131536213,0.2441926345609065
37,"[['SPACY:POS-PRON'], ['TEXT:...']]","A pronoun, closely followed by the word ""...""",0,118,0.9411086139342468,0.033081020465377066,1.0,0.038324131211432286,0.0738192055051611
38,[['TEXT:that']],"The word ""that""",14,324,0.939578677890352,0.09475749929913092,0.9585798816568047,0.10522897044494967,0.18964003511852504
39,[['TEXT:10p']],"The word ""10p""",18,0,0.9388657648283038,0.005046257359125316,1.0,0.036885245901639344,0.07114624505928854
40,[['TEXT:collection']],"The word ""collection""",18,0,0.9388657648283038,0.005046257359125316,1.0,0.036885245901639344,0.07114624505928854
41,"[['TEXT:i'], [""TEXT:'ll""]]","The word ""i"", closely followed by the word ""'ll""",0,113,0.9385654218190101,0.03167928231006448,1.0,0.03670022734654108,0.07080200501253132
42,[['TEXT:how']],"The word ""how""",5,184,0.9377851777475564,0.05298570227081581,0.9735449735449735,0.0597596622279961,0.11260709914320685
43,[['TEXT:he']],"The word ""he""",0,108,0.9358024157825363,0.030277544154751892,1.0,0.035076323481649886,0.067775337307813
44,"[['SPACY:POS-PRON'], ['TEXT:it']]","A pronoun, closely followed by the word ""it""",0,101,0.9315071643782055,0.02831511073731427,1.0,0.03280285807080221,0.06352201257861635
45,[['TEXT:got']],"The word ""got""",3,140,0.9313359544783424,0.04008971124194,0.9790209790209791,0.04546930821695356,0.08690254500310367
46,[['TEXT:service']],"The word ""service""",29,1,0.9312139654067905,0.008410428931875526,0.9666666666666667,0.05942622950819672,0.11196911196911195
47,[['TEXT:mobile']],"The word ""mobile""",81,5,0.9310077963769776,0.024109896271376507,0.9418604651162791,0.16598360655737704,0.2822299651567944
48,"[[""TEXT:n't""]]","The word ""n't""",6,176,0.9301124158199238,0.05102326885337819,0.967032967032967,0.05716141604417019,0.10794234897270777
49,[['TEXT:did']],"The word ""did""",1,110,0.9290423134438383,0.031118587047939444,0.990990990990991,0.03572588502760637,0.06896551724137931
50,[['TEXT:txt']],"The word ""txt""",90,6,0.9280497839950628,0.02691337258200168,0.9375,0.18442622950819673,0.30821917808219185
51,[['TEXT:going']],"The word ""going""",2,120,0.9275429364482737,0.03420241098962714,0.9836065573770492,0.03897369275738876,0.07497656982193064
52,[['HYPERNYM3:make.v.03']],A type of make (v),12,236,0.9252730276987456,0.06952621250350434,0.9516129032258065,0.07664826242286457,0.14186955214908328
53,"[['SPACY:POS-PRON'], ['TEXT:?']]","A pronoun, closely followed by the word ""?""",8,187,0.9248634048273906,0.054667788057190914,0.958974358974359,0.06073400454693082,0.11423335369578498
54,[['HYPERNYM3:then.r.03']],A type of then (adv),2,114,0.923907112108167,0.032520325203252036,0.9827586206896551,0.03702500811951932,0.07136150234741784
55,[['TEXT:home']],"The word ""home""",1,102,0.9237335983197453,0.028875805999439303,0.9902912621359223,0.03312763884378045,0.06411062225015714
56,"[['SPACY:POS-PRON'], ['HYPERNYM3:exist.v.01']]","A pronoun, closely followed by a type of exist (v)",2,113,0.9232665702235173,0.032239977572189514,0.9826086956521739,0.03670022734654108,0.07075767063243582
57,[['TEXT:nt']],"The word ""nt""",8,181,0.9224952020234116,0.05298570227081581,0.9576719576719577,0.058785319909061384,0.11077111383108937
58,"[['TEXT:prize'], ['TEXT:claim']]","The word ""prize"", closely followed by the word ""claim""",14,0,0.9221419185282523,0.003924866834875245,1.0,0.028688524590163935,0.055776892430278883
59,"[['TEXT:won'], ['TEXT:prize']]","The word ""won"", closely followed by the word ""prize""",14,0,0.9221419185282523,0.003924866834875245,1.0,0.028688524590163935,0.055776892430278883
60,[['TEXT:not']],"The word ""not""",13,235,0.9213523792762932,0.06952621250350434,0.9475806451612904,0.07632348164988632,0.14126840997896
61,[['TEXT:later']],"The word ""later""",0,87,0.9210116423348028,0.024390243902439025,1.0,0.028255927249106853,0.05495893872394189
62,"[['SPACY:POS-INTJ'], ['TEXT:...']]","An interjection (expresses an emotional reaction), closely followed by the word ""...""",0,86,0.9201419461565141,0.024109896271376507,1.0,0.027931146476128613,0.054344391785150076
63,"[['SPACY:POS-PRON'], ['TEXT:my']]","A pronoun, closely followed by the word ""my""",1,97,0.9200075687693652,0.027474067844126718,0.9897959183673469,0.03150373497888925,0.06106389675794776
64,[['TEXT:lor']],"The word ""lor""",0,85,0.9192534858005877,0.02382954864031399,1.0,0.027606365703150372,0.05372945638432364
65,[['HYPERNYM3:cause.v.01']],A type of cause (v),3,118,0.9191709240661239,0.03392206335856462,0.9752066115702479,0.038324131211432286,0.07375
